ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,12/31/19,72.482498,73.419998,72.379997,73.412498,72.192863,100805600
AAPL,1/2/20,74.059998,75.150002,73.797501,75.087502,73.840042,135480400
AAPL,1/3/20,74.287498,75.144997,74.125,74.357498,73.122154,146322800
AAPL,1/6/20,73.447502,74.989998,73.1875,74.949997,73.704819,118387200
AAPL,1/7/20,74.959999,75.224998,74.370003,74.597504,73.358185,108872000
AAPL,1/8/20,74.290001,76.110001,74.290001,75.797501,74.538239,132079200
AAPL,1/9/20,76.809998,77.607498,76.550003,77.407501,76.121498,170108400
AAPL,1/10/20,77.650002,78.167503,77.0625,77.582497,76.293579,140644800
AAPL,1/13/20,77.910004,79.267502,77.787498,79.239998,77.923538,121532000
AAPL,1/14/20,79.175003,79.392502,78.042503,78.169998,76.871323,161954400
AAPL,1/15/20,77.962502,78.875,77.387497,77.834999,76.541885,121923600
AAPL,1/16/20,78.397499,78.925003,78.022499,78.809998,77.500694,108829200
AAPL,1/17/20,79.067497,79.684998,78.75,79.682503,78.358696,137816400
AAPL,1/21/20,79.297501,79.754997,79,79.142502,77.827667,110843200
AAPL,1/22/20,79.644997,79.997498,79.327499,79.425003,78.105476,101832400
AAPL,1/23/20,79.480003,79.889999,78.912498,79.807503,78.481621,104472000
AAPL,1/24/20,80.0625,80.832497,79.379997,79.577499,78.25544,146537600
AAPL,1/27/20,77.514999,77.942497,76.220001,77.237503,75.954315,161940000
AAPL,1/28/20,78.150002,79.599998,78.047501,79.422501,78.103012,162234000
AAPL,1/29/20,81.112503,81.962502,80.345001,81.084999,79.7379,216229200
AAPL,1/30/20,80.135002,81.022499,79.6875,80.967499,79.622337,126743200
AAPL,1/31/20,80.232498,80.669998,77.072502,77.377502,76.091995,199588400
AAPL,2/3/20,76.074997,78.372498,75.555,77.165001,75.883018,173985600
AAPL,2/4/20,78.827499,79.910004,78.407501,79.712502,78.388199,136616400
AAPL,2/5/20,80.879997,81.190002,79.737503,80.362503,79.027405,118826800
AAPL,2/6/20,80.642502,81.305,80.065002,81.302498,79.951775,105425600
AAPL,2/7/20,80.592499,80.849998,79.5,80.0075,78.865021,117684000
AAPL,2/10/20,78.544998,80.387497,78.462502,80.387497,79.239594,109348800
AAPL,2/11/20,80.900002,80.974998,79.677498,79.902496,78.76152,94323200
AAPL,2/12/20,80.3675,81.805,80.3675,81.800003,80.631927,113730400
